Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;net3g;net4g;speed;bodyother;displayprotection;os;chipset;cpu;gpu;internalmemory;cam1features;cam1video;cam2modules;cam2video;nfc;price;sar-us;sar-eu;build;memoryother;optionalother;cam2features;models;net5g;tbench;batlife;batmusicplayback1
https://www.gsmarena.com/palm_palm-9290.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg;Palm Palm;Released 2018, November;62.5g, 7.4mm thickness;Android 8.1;32GB storage, no card slot;77;0.4%;361,389 hits;"3.3""";720x1280 pixels;3 GB RAM;Snapdragon 435;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2018, October;Available. Released 2018, November;96.6 x 50.6 x 7.4 mm (3.80 x 1.99 x 0.29 in);62.5 g (2.22 oz);Nano-SIM or eSIM;IPS LCD;3.3 inches, 30.0 cm(~61.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~445 ppi density);;No;12 MP, AF;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS;No;USB Type-C 2.0;Infrared face recognition, accelerometer, proximity, gyro, compass;;Li-Ion 800 mAh, non-removable;;;Gold, Titanium;HSDPA 850 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 13, 17, 66;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;IP68 dust/water resistant (up to 1m for 30 mins);Corning Gorilla Glass 3;Android 8.1 (Oreo);Qualcomm MSM8940 Snapdragon 435 (28 nm);Octa-core (4x1.4 GHz & 4x1.1 GHz);Adreno 505;32GB 3GB RAM;LED flash, HDR;720p@30fps;8 MP;720p@30fps;No;About 400 EUR;;0.98 W/kg (head);Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), aluminum frame;eMMC 5.1;;;;;;;
https://www.gsmarena.com/palm_pre_2-3559.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg;Palm Pre 2;Released 2010, November;145g, 16.9mm thickness;HP webOS 2.0;16GB storage, no card slot;20;N/A;496,996 hits;"3.1""";320x480 pixels;512 MB RAM;;;GSM 850 / 900 / 1800 / 1900;;;2010, October. Released 2010, November;Discontinued;100.7 x 59.6 x 16.9 mm (3.96 x 2.35 x 0.67 in);145 g (5.11 oz);Mini-SIM;TFT;3.1 inches, 28.6 cm(~47.7% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~186 ppi density);;No;5 MP;Wi-Fi 802.11 b/g;2.1, A2DP, EDR;Yes, with A-GPS;;microUSB 2.0;Accelerometer, proximity;;Removable Li-Ion battery;Up to 350 h;Up to 5 h 30 min;Black;HSDPA 850 / 1900;;HSPA 7.2/2 Mbps;;Corning Gorilla Glass;HP webOS 2.0;;1.0 GHz;;16GB 512MB RAM;LED flash;Yes;No;;;About 260 EUR;;;;;;;;;;;
https://www.gsmarena.com/palm_treo_180-623.php;https://fdn2.gsmarena.com/vv/bigpic/hst180.gif;Palm Treo 180;Released 2002;147g, 21mm thickness;Palm 3.5.2H;16MB storage, no card slot;10;N/A;283,860 hits;;160x160 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800;No;No;2002;Discontinued;108 x 71 x 21 mm (4.25 x 2.80 x 0.83 in);147 g (5.19 oz);Mini-SIM;Monochrome resistive touchscreen, 16 shades;;160 x 160 pixels, 1:1 ratio;;No;No;No;No;No;No;Proprietary;;33 MHz Motorola Dragonball ProcessorOrganizerAdvanced calculatorGPRS upgradableHandsfree ear-bud headset included;Removable Li-Ion battery;Up to 100 h;Up to 2 h 30 min;Steel Blue;;;;;;Palm 3.5.2H;;Motorola DragonBall VZ MC68VZ328 33MHz;;16MB;;;;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_breeze_iv-6504.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg;Pantech Breeze IV;Released 2013, November;102g, 17.5mm thickness;Feature phone;256MB 128MB RAM storage, microSDHC slot;8;N/A;129,433 hits;"3.0""";240x400 pixels;128 MB RAM;QSC6270;1030 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2013, November. Released 2013, November;Discontinued;106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in);102 g (3.60 oz);Yes;TFT, 256K colors;3.0 inches, 25.6 cm(~45.3% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);Secondary external display;microSDHC (dedicated slot);3.15 MP, AF;No;2.1, A2DP, EDR;No;No;microUSB;;MP3/eAAC+/WMA/WAV playerMP4/WMV/H.263 playerOrganizerDocument viewerVoice memo/dialPredictive text input;Li-Ion 1030 mAh, removable;Up to 240 h;Up to 3 h;Black;HSDPA 850 / 1900 / 2100;;HSPA;;;;Qualcomm QSC6270;;;256MB 128MB RAM;LED flash;Yes;No;;No;About 160 EUR;;;;;;;;;;;
https://www.gsmarena.com/pantech_vega_no_6-5268.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg;Pantech Vega No 6;Released 2013, February;210.5g, 9.9mm thickness;Android 4.1.2, Flux UX UI;32GB storage, microSDXC;64;0.1%;1,312,075 hits;"5.9""";1080x1920 pixels;2 GB RAM;Snapdragon S4 Pro;3140 mAh Li-Ion;CDMA 800 / 1900;;;2013, January. Released 2013, February;Discontinued;158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in);210.5 g (7.41 oz);Micro-SIM;Natural IPS Pro LCD;5.9 inches, 96.0 cm(~72.7% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~373 ppi density);;microSDXC (dedicated slot);13 MP, AF;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR, LE;Yes, with A-GPS;No;microUSB 2.0, USB On-The-Go;Accelerometer, proximity, compass;T-DMB TV tuner;Li-Ion 3140 mAh, removable;Up to 450 h;Up to 16 h 40 min;Black, White;HSDPA 2100;LTE 800;HSPA, LTE, EV-DO Rev. A;;;Android 4.1.2 (Jelly Bean), Flux UX UI;Qualcomm APQ8064 Snapdragon S4 Pro;Quad-core 1.5 GHz Krait;Adreno 320;32GB 2GB RAM;LED flash, HDR;1080p@30fps;2 MP;1080p@30fps;Yes;;;0.72 W/kg (head);;;;;;;;;
https://www.gsmarena.com/pantech_jest-4295.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-jest.jpg;Pantech Jest;Released 2010, June;116g, 15mm thickness;Feature phone;975MB storage, microSDHC slot;6;N/A;59,498 hits;"2.6""";320x320 pixels; ;;920 mAh Li-Ion;CDMA 800 / 1900;No;No;2010, June. Released 2010, June;Discontinued;94 x 64 x 15 mm (3.70 x 2.52 x 0.59 in);116 g (4.09 oz);Mini-SIM;TFT, 256K colors;2.6 inches, 21.8 cm(~36.2% screen-to-body ratio);320 x 320 pixels, 1:1 ratio (~174 ppi density);;microSDHC (dedicated slot);2 MP;No;2.1, A2DP, EDR;No;No;microUSB;;SNS applicationsMP3 playerMP4/H.263 playerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 920 mAh battery;Up to 358 h;Up to 4 h 36 min;Black;;;;;;;;;;975MB;;Yes;No;;;;0.89 W/kg (head)     0.27 W/kg (body);;;;2.5 mm audio jack;;;;;;
https://www.gsmarena.com/pantech_link-4291.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-link.jpg;Pantech Link;Released 2010, April;91g, 9.9mm thickness;Feature phone;microSDHC slot;7;N/A;96,869 hits;"2.4""";320x240 pixels; ;;930 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, March. Released 2010, April;Discontinued;115.2 x 60.9 x 9.9 mm (4.54 x 2.40 x 0.39 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~25.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;microSDHC (dedicated slot);1.3 MP;No;2.0, A2DP;Yes, with A-GPS;No;2.0;;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 930 mAh battery;Up to 250 h;Up to 3 h;Black;HSDPA 850 / 1900;;HSPA;;;;;;;;;320p@15fps;No;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_pg_6100-1258.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-pg6100.gif;Pantech PG-6100;Released 2005, Q3;115g, 25mm thickness;Feature phone;RS-MMC slot;9;N/A;295,506 hits;;176x220 pixels; ;;;GSM 900 / 1800 / 1900;Class 10;No;2005, Q3;Discontinued;82 x 47.5 x 25 mm (3.23 x 1.87 x 0.98 in);115 g (4.06 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;;RS-MMC;2 MP;No;1.2;No;FM radio;Proprietary;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion battery;Up to 200 h;Up to 3 h 30 min;Silver;;;;;;;;;;;LED flash;Yes;No;;;;;;;;;;;;;;
https://www.gsmarena.com/pantech_pg_1400-1376.php;https://fdn2.gsmarena.com/vv/bigpic/pantech-pg1400.gif;Pantech PG-1400;Released 2005, Q3;75g, 12.8mm thickness;Feature phone;3MB storage, no card slot;8;N/A;123,507 hits;;128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q3;Discontinued;103 x 42.5 x 12.8 mm (4.06 x 1.67 x 0.50 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;VGA;No;No;No;FM radio;Proprietary;;Predictive text inputOrganizerVoice memo;Removable Li-Ion 720 mAh battery;Up to 240 h;Up to 4 h;Black, Silver;;;;;;;;;;3MB;;Yes;No;;;;;;;;;;;;;;
https://www.gsmarena.com/philips_s337-8008.php;https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg;Philips S337;Released 2015, November;152g, 10.4mm thickness;Android 5.1;8GB storage, microSDHC;5;0.1%;189,298 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2015, October. Released 2015, November;Discontinued;144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in);152 g (5.36 oz);Dual SIM (Mini-SIM, dual stand-by);TFT, 256K colors;5.0 inches, 68.9 cm(~65.6% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);;microSDHC (dedicated slot);5 MP, AF;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 2000 mAh, removable;Up to 480 h (3G);Up to 6 h 40 min (3G);Black;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;;;Android 5.1 (Lollipop);;Quad-core 1.3 GHz;;8GB 1GB RAM;LED flash;Yes;VGA;;No;;;;;;;;;;;;
https://www.gsmarena.com/philips_s309-8009.php;https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg;Philips S309;Released 2015, July;127g, 10.8mm thickness;Android 5.1;8GB storage, microSDHC;4;N/A;94,345 hits;"4.0""";480x800 pixels;1 GB RAM;;1600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2015, July. Released 2015, July;Discontinued;127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in);127 g (4.48 oz);Dual SIM (Mini-SIM, dual stand-by);TFT, 256K colors;4.0 inches, 45.5 cm(~55.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);;microSDHC (dedicated slot);5 MP, AF;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 1600 mAh, removable;Up to 500 h (3G);Up to 9 h 30 min (3G);Black, Red;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;;;Android 5.1 (Lollipop);;Dual-core 1.0 GHz;;8GB 1GB RAM;LED flash;Yes;VGA;;No;;;;;;;;;;;;
https://www.gsmarena.com/philips_w8560-5743.php;https://fdn2.gsmarena.com/vv/bigpic/philips-w8560.jpg;Philips W8560;Released 2013, October;158g, 10mm thickness;Android 4.2;32GB storage, microSDHC;13;N/A;111,774 hits;"5.0""";1080x1920 pixels;2 GB RAM;MT6589;3300 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2013, September. Released 2013, October;Discontinued;144 x 73 x 10 mm (5.67 x 2.87 x 0.39 in);158 g (5.57 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;5.0 inches, 68.9 cm(~65.6% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);;microSDHC (dedicated slot);13 MP, AF;Wi-Fi 802.11 b/g;4.0, A2DP, LE;Yes, with A-GPS;No;microUSB 2.0;Accelerometer, proximity;;Li-Ion 3300 mAh, removable;Up to 720 h;Up to 18 h;Black;HSDPA 900 / 2100;;HSPA 21.1/11.5 Mbps;;;Android 4.2 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544;32GB 2GB RAM;LED flash;Yes;1.3 MP;;No;;;;;;;;;;;;
https://www.gsmarena.com/philips_w8510-5742.php;https://fdn2.gsmarena.com/vv/bigpic/philips-w8510.jpg;Philips W8510;Released 2013, October;173g, 10.4mm thickness;Android 4.2;4GB storage, microSDHC slot;7;N/A;93,890 hits;"4.7""";720x1280 pixels; ;MT6589;3300 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2013, October. Released 2013, October;Discontinued;138.5 x 69.7 x 10.4 mm (5.45 x 2.74 x 0.41 in);173 g (6.10 oz);Dual SIM (Mini-SIM, dual stand-by);TFT;4.7 inches, 60.9 cm(~63.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~312 ppi density);;microSDHC (dedicated slot);8 MP, AF;Wi-Fi 802.11 b/g;4.0, A2DP, LE;Yes, with A-GPS;No;microUSB 2.0;Accelerometer, proximity;;Li-Ion 3300 mAh, removable;Up to 860 h;Up to 18 h;Gray;HSDPA 900 / 2100;;HSPA 42.2/5.76 Mbps;;;Android 4.2 (Jelly Bean);Mediatek MT6589 (28 nm);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;4GB;LED flash;Yes;Yes;;No;;;;;;;;;;;;
https://www.gsmarena.com/philips_x623-4379.php;https://fdn2.gsmarena.com/vv/bigpic/philips-x623.jpg;Philips X623;Released 2011, December;132.8g, 15.2mm thickness;Feature phone;64MB storage, microSDHC slot;12;N/A;98,591 hits;"2.4""";240x320 pixels; ;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1;Class 12;Yes;2011, December. Released 2011, December;Discontinued;118.5 x 49 x 15.2 mm (4.67 x 1.93 x 0.60 in);132.8 g (4.66 oz);Dual SIM (Mini-SIM);IPS LCD, 256K colors;2.4 inches, 17.8 cm(~30.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;microSDHC (dedicated slot);5 MP;No;2.1, A2DP;No;FM radio, RDS;2.0;;MP3/AAC+/WMA/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 2000 mAh battery;Up to 1200 h;Up to 23 h;Black, Silver;;;;;;;;;;64MB;LED flash;QCIF;No;;;;;;;;;;;;;;
