brand;link;image;name;dimensions;os;storage
micromax;https://www.gsmarena.com/micromax_x321-5480.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x321.jpg;Micromax X321;98.6g, 8.9mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x295-5477.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x295.jpg;Micromax X295;10.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x286-5476.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x286.jpg;Micromax X286;14.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x278-5475.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x278.jpg;Micromax X278;15.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x099-5474.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x099.jpg;Micromax X099;14.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_gc333-5473.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-gc333.jpg;Micromax GC333;;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x276-4888.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x276.jpg;Micromax X276;13.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x246-4887.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x246.jpg;Micromax X246;104g, 15.6mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x234+-4886.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x234.jpg;Micromax X234+;14.5mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_a56-4874.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a56.jpg;Micromax A56;110g, 11.5mm thickness;Android 2.3.5;256MB RAM storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a52-4825.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a52.jpg;Micromax A52;112g, 13.2mm thickness;Android 2.3;160MB storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_a45-4824.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-a45.jpg;Micromax A45;120g, 13mm thickness;Android 2.3;180MB storage, microSDHC slot
micromax;https://www.gsmarena.com/micromax_x266-3864.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X266.jpg;Micromax X266;95g, 11.5mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x265-3873.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-x265.jpg;Micromax X265;95g, 14.7mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_m2-3866.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-M2.jpg;Micromax M2;79g, 10.8mm thickness;Feature phone;2GB storage, no card slot
micromax;https://www.gsmarena.com/micromax_q66-3863.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-Q66.jpg;Micromax Q66;118g, 18mm thickness;Feature phone;microSDHC slot
